Place:,Player:,Name1:,Name:,Origin:,char1,char2,char3,char4,char5,Characters:,Event:,Tournament:,Qualifier,Sponser:,Country,Origin,Lat,Long,Tournament,Tournaments
1st,"<a href=""https://www.ssbwiki.com/Smasher:Sparg0"">Sparg0</a>","<a href=""https://www.ssbwiki.com/Smasher:Sparg0"">https://www.ssbwiki.com/Smasher:Sparg0</a>",Sparg0,"Tijuana, Mexico",Cloud,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/thumb/3/3b/CloudHeadSSBU.png/32px-CloudHeadSSBU.png"" alt=""Cloud"" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,Unknown,Mexico,Tijuana,32.525,-117.0333, Mexico , Mexico 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:MkLeo"">MkLeo</a>","<a href=""https://www.ssbwiki.com/Smasher:MkLeo"">https://www.ssbwiki.com/Smasher:MkLeo</a>",MkLeo,"Mexico City, Mexico",Mythra,Pyra,Byleth,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/3/32/MythraHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/7/79/PyraHeadSSBU.png"" alt=""Pyra"" height=""15"" /><img src=""https://ssb.wiki.gallery/images/a/a2/BylethHeadSSBU.png"" alt="""" width=""15"" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,T1,Mexico,Mexico City,19.432608,-99.133209, Mexico , Mexico 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Maister"">Maister</a>","<a href=""https://www.ssbwiki.com/Smasher:Maister"">https://www.ssbwiki.com/Smasher:Maister</a>",Maister,"Atizapán de Zaragoza, Mexico",Mr. Game & Watch,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/6/6b/MrGame%26WatchHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,Spacestation Gaming,Mexico,Atizapán de Zaragoza,19.5611,-99.2469, Mexico , Mexico 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Chag"">Chag</a>","<a href=""https://www.ssbwiki.com/Smasher:Chag"">https://www.ssbwiki.com/Smasher:Chag</a>",Chag,"Mexico City, Mexico",Palutena,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/a9/PalutenaHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,Unknown,Mexico,Mexico City,19.432608,-99.133209, Mexico , Mexico 
5th,"<a href=""https://www.ssbwiki.com/Smasher:Nair%5E"">Nair^</a>","<a href=""https://www.ssbwiki.com/Smasher:Nair%5E"">https://www.ssbwiki.com/Smasher:Nair%5E</a>",Nair^,"Mexico City, Mexico",Cloud,Ridley,Hero,Dark Samus,Unknown,"<img src=""https://ssb.wiki.gallery/images/thumb/3/3b/CloudHeadSSBU.png/32px-CloudHeadSSBU.png"" alt=""Cloud"" height=""15"" /><img src=""https://ssb.wiki.gallery/images/5/5b/RidleyHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/3/3d/HeroHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/9/96/DarkSamusHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,Unknown,Mexico,Mexico City,19.432608,-99.133209, Mexico , Mexico 
6th,"<a href=""https://www.ssbwiki.com/Smasher:AlanDiss"">AlanDiss</a>","<a href=""https://www.ssbwiki.com/Smasher:AlanDiss"">https://www.ssbwiki.com/Smasher:AlanDiss</a>",AlanDiss,"Tijuana, Mexico",Snake,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/9a/SnakeHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Mexico - Singles,Yes,Unknown,Mexico,Tijuana,32.525,-117.0333, Mexico , Mexico 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Andrik"">Andrik</a>","<a href=""https://www.ssbwiki.com/Smasher:Andrik"">https://www.ssbwiki.com/Smasher:Andrik</a>",Andrik,"Mexicali, Mexico",Captain Falcon,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/3/35/CaptainFalconHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Mexico - Last Chance,Yes,Unknown,Mexico,Mexicali,32.6412,-115.4756, Mexico , Mexico 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Cloudy"">Cloudy</a>","<a href=""https://www.ssbwiki.com/Smasher:Cloudy"">https://www.ssbwiki.com/Smasher:Cloudy</a>",Cloudy,"Mexico City, Mexico",Mythra,Pyra,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/3/32/MythraHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/7/79/PyraHeadSSBU.png"" alt=""Pyra"" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Mexico - Last Chance,Yes,Smash Factor,Mexico,Mexico City,19.432608,-99.133209, Mexico , Mexico 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Kinaji"">Kinaji</a>","<a href=""https://www.ssbwiki.com/Smasher:Kinaji"">https://www.ssbwiki.com/Smasher:Kinaji</a>",Kinaji,"Canberra, Australia",Snake,Mythra,Pyra,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/9a/SnakeHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/3/32/MythraHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/7/79/PyraHeadSSBU.png"" alt=""Pyra"" height=""15"" />",Super Smash Bros. Ultimate singles, Oceania - Singles,Yes,Geniune Gaming,Australia,Canberra,-35.3075,149.1244, Oceania , Oceania 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:RaZe"">RaZe</a>","<a href=""https://www.ssbwiki.com/Smasher:RaZe"">https://www.ssbwiki.com/Smasher:RaZe</a>",RaZe,"Melbourne, Australia",Dark Pit,Pit,Link,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/e/ed/DarkPitHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/a/aa/PitHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/a/aa/LinkHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Oceania - Singles,Yes,FURY,Australia,Melbourne,-37.8136,144.9631, Oceania , Oceania 
